Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,1506,302,1,(x29),2118242,883369738,2019/9/6,dfw rap,Hip Hop
Juice WRLD ,Lucid Dreams,1673,178,1,(x20),2127668,864832399,2018/12/10,chicago rap,Hip Hop
Lil Uzi Vert ,XO TOUR Llif3,1853,212,1,(x4),1660502,781153024,2017/8/25,hip hop,Hip Hop
J. Cole ,No Role Modelz,2547,6,7,0,659366,734857487,2014/12/9,conscious hip hop,Hip Hop
Post Malone ,rockstar,1223,186,1,(x124),2905678,718865961,2005/9/26,dfw rap,Hip Hop
Travis Scott ,goosebumps,1995,4,8,0,977275,672972704,2016/9/16,hip hop,Hip Hop
The Weeknd ,Blinding Lights,1100,233,1,(x11),2355059,644287953,2020/3/20,canadian contemporary r&b,R&B
XXXTENTACION ,Jocelyn Flores,1673,44,2,(x1),3175206,624457164,2017/8/25,emo rap,Hip Hop
XXXTENTACION ,SAD!,1217,133,1,(x6),4437612,619879245,2018/3/16,emo rap,Hip Hop
Juice WRLD ,All Girls Are The Same,1681,2,5,0,1239152,613872384,2018/12/10,chicago rap,Hip Hop
Kendrick Lamar ,HUMBLE.,1175,152,1,(x67),4060034,606305588,2017/4/14,conscious hip hop,Hip Hop
Post Malone ,Circles,1172,163,1,(x38),3441328,598521764,2019/9/6,dfw rap,Hip Hop
Travis Scott ,SICKO MODE,1046,190,1,(x19),4129691,586638599,2018/8/3,hip hop,Hip Hop
Lil Baby ,Drip Too Hard (Lil Baby & Gunna),1453,122,1,(x6),1759294,583443174,2018/10/5,atl hip hop,Hip Hop
Post Malone ,Congratulations,1215,136,5,0,1263208,546036924,2016/12/9,dfw rap,Hip Hop
Post Malone ,I Fall Apart,1278,132,2,(x14),1275320,543144261,2016/12/9,dfw rap,Hip Hop
Glass Animals ,Heat Waves,763,248,1,(x34),1230046,540754791,2020/8/7,gauze pop,Pop
Drake ,God's Plan,634,139,1,(x70),4739798,534994242,2018/6/29,canadian hip hop,Hip Hop
Roddy Ricch ,The Box,650,197,1,(x85),3781452,504210201,2019/12/6,melodic rap,Hip Hop
J. Cole ,MIDDLE CHILD,1119,106,1,(x16),3800251,481985952,2019/1/23,conscious hip hop,Hip Hop
XXXTENTACION ,Fuck Love,1406,9,5,0,2438715,473417295,2017/8/25,emo rap,Hip Hop
Post Malone ,Better Now,862,72,1,(x8),3467168,463551468,2018/4/27,dfw rap,Hip Hop
Drake ,One Dance,772,187,1,(x103),2767175,454267392,2016/5/6,canadian hip hop,Hip Hop
Olivia Rodrigo ,good 4 u,547,187,1,(x53),4974833,454100610,2021/5/21,pop,Pop
Juice WRLD ,Robbery,1086,38,2,(x2),1724447,443773199,2019/3/8,chicago rap,Hip Hop
Billie Eilish ,lovely,1250,0,18,0,733267,437911914,2018/4/19,art pop,Pop
Joji ,SLOW DANCING IN THE DARK,1496,0,26,0,661274,437333177,2018/10/26,viral pop,Pop
XXXTENTACION ,Moonlight,923,57,2,(x2),3167290,431568186,2018/3/16,emo rap,Hip Hop
Offset ,Ric Flair Drip (& Metro Boomin),1065,86,4,0,1040394,427614856,2017/10/30,atl hip hop,Hip Hop
The Kid LAROI ,Stay,531,271,1,(x45),2345292,426712325,2021/7/9,australian hip hop,Hip Hop
Lewis Capaldi ,Someone You Loved,952,40,5,0,1118953,410725370,2019/5/17,pop,Pop
Harry Styles ,Watermelon Sugar,988,65,3,(x3),1609066,409073262,2019/12/13,pop,Pop
